Pet,Name,Sex,Age,Breed,Location,Province
Dog,Big Daddy,Male,10 months,Pit bull,Vancouver, B.C. 
Dog,Sven,Male,1 year,Mastiff,Vancouver, B.C. 
Dog,Stormy,Male,5 years,Domestic Medium Hair,Vancouver, B.C. 
Dog,Sasha,Female,4 years,Doberman,Vancouver, B.C. 
Dog,Lillian,Female,2 years,Sheepdog,Vancouver, B.C. 
Dog,Felix,Male,1 year,Ragdoll,Burnaby, B.C. 
Dog,Bear,Male,3 years,Australian Shepherd/ Border Collie,Burnaby, B.C. 
Dog,Casper,Male,3 years,Husky/Jindo,Burnaby, B.C. 
Dog,Sophia,Female,2 years,American Terrier,Burnaby, B.C. 
Dog,Dorothy ,Female,2 years,American Terrier,Burnaby, B.C. 
Dog,Wooley,Male,6 years,Husky,Burnaby, B.C. 
Dog,Leif,Male,11 months,Husky,Burnaby, B.C. 
Dog,Lucy,Female,1 year,German Shepherd,Richmond, B.C. 
Dog,Pluto,Male,6 years,"Dachshund, Short-haired",Richmond, B.C. 
Dog,Grace,Female,4 years,Pit Bull Terrier,Richmond, B.C. 
Dog,Stanley,Male,2 years,Maremma Sheepdog,Richmond, B.C. 
Dog,Dusty,Male,9 years,German Shepherd,Richmond, B.C. 
Dog,Mick,Male,2 years,Doberman,Richmond, B.C. 
Dog,Twix,Male,3 months,Labrador Retriever,West Vancouver, B.C.
Dog,Goomba,Male,2 years,Husky,West Vancouver, B.C.
Dog,Nathan,Male,2 years,Labrador Retriever,Nanaimo, B.C.
Dog,Naomi,Female,1 year,Mastiff / German Shepherd,Nanaimo, B.C.
Dog,Tigger,Male,1 year,Pit Bull Terrier,Nanaimo, B.C.
Dog,Yeepers,Female,8 years,Shiba Inu ,Nanaimo, B.C.
Dog,Evie,Female,6 years,Caucasian Shepherd,Victoria, B.C.
Dog,Alexandria,Female,3 months,German Shepherd,Victoria, B.C.
Dog,Willow,Female,5 years,Boxer,Victoria, B.C.
Dog,Suzie,Female,9 years,Chihuahua,Victoria, B.C.
Dog,Lucy,Male,3 years,Pit Bull Terrier,Victoria, B.C.
Dog,Lucio,Female,2 years,Labrador Retriever,Victoria, B.C.
Cat,Lillian,Female,2 years,Domestic Short Hair,Vancouver, B.C.
Cat,Stormy,Male,9 years,Domestic Medium Hair,Vancouver, B.C. 
Cat,Berry,Female,4 years,Domestic Short Hair,Vancouver, B.C.
Cat,Bubba,Male,2 years,Domestic Short Hair,Vancouver, B.C. 
Cat,Felix,Male,1 year,Ragdoll,Burnaby, B.C. 
Cat,Luna,Female,16 years,Domestic Short Hair,Burnaby, B.C. 
Cat,Babie,Female,3 years,Domestic Short Hair,Richmond, B.C. 
Cat,Kasey,Female,3 years,Domestic Short Hair,Richmond, B.C. 
Cat,Buttons ,Female,3 years,Domestic Short Hair,Richmond, B.C. 
Cat,Juniper,Female,1 year,Domestic Short Hair,West Vancouver, B.C.
Cat,Sage,Female,1 year,Domestic Short Hair,West Vancouver, B.C. 
Cat,Holly,Female,2 years,Domestic Short Hair,Coquitlam, B.C.
Cat,Honey,Female,3 years,Domestic Short Hair,Coquitlam, B.C.
Cat,Whalen,Male,5 months,Domestic Medium Hair,Coquitlam, B.C. 
Cat,Poe,Female,5 years,Domestic Short Hair,Surrey, B.C. 
Cat,Pancake,Male,10 years,Domestic Short Hair,Nanaimo, B.C.
Cat,Piper,Female,6 years,Domestic Short Hair,Nanaimo, B.C.
